指标,2020年3月,2020年2月,2020年1月,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月
全国城镇调查失业率(%),5.9,6.2,5.3,5.2,5.1,5.1,5.2,5.2,5.3,5.1,5,5,5.2
31个大城市城镇调查失业率(%),5.7,5.7,5.2,5.2,5.1,5.1,5.2,5.2,5.2,5,5,5,5.1
